bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;mes;hora;periodo;lat;long;alt;estacao;tempAR;tempSOL;peso;temp.conf
1;1;39;37.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;40;37.33;Arachnida;Araneae;Theridiidae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;4;NAO
1;1;41;38.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;42;38.00;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;7;NAO
1;1;43;38.33;Insecta;Hymenoptera;Formicidae;Formicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;7;NAO
1;1;44;40.00;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;45;43.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;6;NAO
1;2;46;32.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;47;35.33;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;48;37.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;49;37.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;50;41.00;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;51;41.67;Insecta;Dermaptera;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;53;45.00;Arachnida;Araneae;Theridiidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;2;NAO
1;2;54;46.00;Arachnida;Araneae;Scytodidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;55;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;56;34.00;Arachnida;Araneae;Scytodidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;57;37.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;58;38.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
