temp_esta	temp_solo	TC_ano2	TC_ano1
25.00	61.50	47.50	45.50
25.00	61.50	48.50	47.00
25.00	61.50	50.50	50.50
26.00	61.50	51.00	52.50
26.00	61.50	51.50	47.50
26.00	61.50	52.50	48.50
26.00	61.50	52.50	56.50
26.00	61.50	53.50	40.00
27.00	61.50	58.50	53.00
27.00	61.50	44.50	57.00
27.00	61.50	54.50	42.00
27.00	61.50	58.50	43.00
27.00	46.00	47.00	48.00
27.00	46.00	47.50	48.00
27.00	46.00	48.00	48.50
27.00	46.00	48.50	49.00
27.00	46.00	49.00	49.00
27.00	46.00	50.00	49.50
27.00	46.00	51.00	50.00
27.00	46.00	53.00	50.50
27.00	46.00	51.50	51.00
27.00	46.00	52.50	51.00
27.00	46.00	53.50	51.50
27.00	46.00	54.00	46.50
27.00	46.00	54.00	52.50
27.00	46.00	54.50	55.50
27.00	46.00	65.00	55.50
27.00	46.00	45.50	55.50
27.00	46.00	45.50	56.50
28.00	46.00	47.50	56.50
28.00	46.00	47.50	56.50
28.00	46.00	49.50	57.00
28.00	46.00	49.50	57.00
28.00	46.00	50.50	58.00
28.00	46.00	52.00	60.50
28.00	46.00	52.00	36.50
28.00	46.00	52.00	38.00
28.00	46.00	52.00	45.50
28.00	46.00	52.50	38.00
28.00	46.00	60.00	45.50
28.00	46.00	60.00	47.00
28.00	46.00	60.00	49.00
28.00	46.00	41.50	53.50
28.00	46.00	44.00	54.50
28.00	46.00	45.00	55.00
28.00	46.00	45.00	55.50
28.00	46.00	45.50	55.50
28.00	46.00	46.00	55.50
28.00	46.00	45.50	57.50
28.00	46.00	47.00	58.50
28.00	46.00	48.50	58.50
28.00	46.00	49.50	59.50
28.00	46.00	49.50	60.00
28.00	46.00	50.50	46.50
28.00	46.00	51.50	54.50
28.00	46.00	52.00	54.50
28.00	46.00	53.00	56.00
28.00	46.00	53.00	58.50
28.00	46.00	53.50	58.50
28.00	46.00	41.50	59.50
28.00	46.00	43.00	61.00
28.00	46.00	44.50	61.50
28.00	46.00	44.50	61.50
28.00	46.00	48.00	62.00
28.00	46.00	48.50	62.00
28.00	46.00	60.50	46.50
28.00	46.00	48.50	46.50
28.00	46.00	51.00	52.50
28.00	46.00	51.50	53.50
28.00	46.00	54.00	55.50
28.00	35.00	43.50	59.50
28.00	35.00	46.00	60.00
28.00	35.00	48.50	44.50
28.00	35.00	48.50	54.50
28.00	35.00	48.50	56.50
28.00	35.00	51.00	56.50
28.00	35.00	52.00	57.50
28.00	35.00	53.00	57.50
28.00	35.00	53.00	58.00
28.00	35.00	54.50	59.50
28.00	35.00	46.50	42.50
28.00	35.00	46.50	48.50
28.00	35.00	46.50	52.00
29.00	35.00	51.50	54.50
29.00	35.00	52.00	43.00
29.00	35.00	52.00	44.00
29.00	35.00	52.50	44.50
29.00	35.00	52.00	52.50
29.00	35.00	52.00	53.50
29.00	35.00	52.00	53.50
29.00	35.00	43.00	55.00
29.00	35.00	43.50	48.50
29.00	35.00	46.00	49.00
29.00	35.00	50.50	50.50
29.00	35.00	51.00	52.50
29.00	35.00	53.50	54.50
29.00	35.00	53.50	54.00
29.00	35.00	54.50	54.50
29.00	35.00	55.50	54.00
29.00	35.00	55.50	55.50
29.00	35.00	35.00	55.50
29.00	35.00	43.00	56.00
29.00	35.00	47.00	56.50
29.00	35.00	49.50	59.50
29.00	35.00	49.50	47.50
29.00	35.00	50.00	49.50
29.00	35.00	51.50	49.50
29.00	35.00	53.00	49.50
29.00	35.00	52.50	51.50
29.00	35.00	54.50	53.50
29.00	35.00	54.00	54.50
29.00	35.00	54.50	55.50
29.00	35.00	55.00	55.50
29.00	31.50	38.00	55.50
29.00	31.50	46.00	63.00
29.00	31.50	46.00	48.50
29.00	31.50	46.50	50.50
29.00	31.50	48.00	51.50
29.00	31.50	48.50	54.50
29.00	31.50	48.50	54.50
29.00	31.50	50.50	54.50
29.00	31.50	50.50	54.50
29.00	31.50	51.00	55.50
29.00	31.50	52.00	54.50
29.00	31.50	53.00	55.50
29.00	31.50	53.00	56.50
29.00	31.50	53.00	52.50
29.00	31.50	56.50	53.50
29.00	31.50	55.50	53.00
29.00	31.50	57.50	53.50
29.00	31.50	44.00	54.50
29.00	31.50	45.00	54.50
29.00	31.50	47.00	54.50
29.00	31.50	47.50	54.50
29.00	31.50	47.50	55.50
29.00	31.50	48.00	56.50
29.00	31.50	49.00	56.50
29.00	31.50	50.50	57.00
29.00	31.50	51.50	58.00
29.00	31.50	52.50	43.00
29.00	31.50	54.50	43.00
29.00	31.50	55.50	44.00
29.00	31.50	55.50	49.50
29.00	31.50	46.50	50.50
29.00	31.50	47.00	51.50
29.00	31.50	47.00	52.50
29.00	31.50	47.00	52.50
29.00	31.50	47.50	52.50
29.00	31.50	49.00	53.00
29.00	31.50	51.00	54.50
29.00	31.50	52.00	54.50
29.00	31.50	52.00	44.50
29.00	31.50	52.50	48.00
29.00	31.50	51.00	48.50
29.00	31.50	55.00	49.00
29.00	31.50	55.00	49.00
29.00	34.00	38.50	49.50
29.00	34.00	45.50	50.50
29.00	34.00	45.50	50.50
29.00	34.00	46.00	51.00
29.00	34.00	49.50	52.00
29.00	34.00	49.50	53.50
29.00	34.00	49.50	53.50
29.00	34.00	49.50	54.50
29.00	34.00	50.00	54.50
29.00	34.00	50.00	44.00
29.00	34.00	50.00	49.00
29.00	34.00	50.50	49.50
29.00	34.00	50.00	49.50
30.00	34.00	51.00	49.50
30.00	34.00	51.00	49.50
30.00	34.00	52.00	50.50
30.00	34.00	53.00	51.50
30.00	34.00	49.00	51.50
30.00	34.00	49.00	51.50
30.00	34.00	50.00	52.50
30.00	34.00	50.00	53.50
30.00	34.00	50.00	54.50
30.00	34.00	50.00	56.50
30.00	34.00	51.00	36.50
30.00	34.00	53.00	42.50
30.00	34.00	52.50	44.50
30.00	34.00	53.00	48.00
30.00	34.00	54.00	49.00
30.00	34.00	54.00	49.50
30.00	34.00	54.00	50.50
30.00	34.00	55.00	52.50
30.00	34.00	38.50	53.50
30.00	34.00	47.00	53.50
30.00	34.00	47.00	54.50
30.00	34.00	47.00	55.50
30.00	34.00	49.00	40.00
30.00	34.00	49.00	40.50
30.00	34.00	49.00	52.50
30.00	34.00	50.00	53.50
30.00	34.00	50.00	53.00
30.00	34.00	50.00	54.50
30.00	34.00	51.00	54.50
30.00	34.00	51.00	54.50
30.00	34.00	41.00	40.50
30.00	34.00	42.00	41.50
30.00	34.00	43.00	46.50
30.00	34.00	43.00	48.50
30.00	34.00	45.00	48.50
30.00	34.00	45.00	49.50
30.00	34.00	47.00	50.00
30.00	34.00	47.00	50.50
30.00	34.00	47.00	51.00
30.00	34.00	47.00	51.00
30.00	34.00	47.00	51.00
30.00	34.00	48.00	51.00
30.00	34.00	48.00	52.00
30.00	34.00	50.50	53.00
30.00	34.00	56.00	53.00
30.00	34.00	40.00	54.50
30.00	34.00	42.50	54.50
30.00	34.00	43.00	54.50
30.00	34.00	47.00	51.00
30.00	34.00	47.00	55.50
30.00	34.00	47.50	56.00
30.00	34.00	47.50	56.00
30.00	34.00	49.00	55.50
30.00	34.00	49.00	56.00
30.00	34.00	49.00	49.50
30.00	34.00	49.00	50.00
30.00	34.00	49.00	51.00
30.00	34.00	49.00	50.50
30.00	34.00	51.00	51.00
30.00	34.00	51.00	53.50
30.00	34.00	51.00	54.50
30.00	34.00	48.50	54.50
30.00	34.00	55.50	55.00
30.00	34.00	44.00	57.50
30.00	34.00	44.00	58.50
30.00	34.00	44.00	58.50
30.00	34.00	45.00	58.50
30.00	34.00	47.00	54.50
30.00	34.00	47.00	55.00
30.00	34.00	48.00	57.50
30.00	34.00	48.00	58.00
30.00	34.00	49.00	63.00
30.00	34.00	49.00	51.50
30.00	34.00	47.00	51.50
30.00	34.00	47.50	52.50
30.00	34.00	47.50	52.50
30.00	34.00	47.00	52.50
30.00	34.00	43.00	53.50
30.00	34.00	43.00	53.50
30.00	34.00	43.00	53.50
30.00	34.00	44.00	53.50
30.00	34.00	43.00	55.50
30.00	34.00	44.00	55.50
30.00	34.00	45.00	59.00
30.00	34.00	45.00	58.50
30.00	34.00	45.00	59.00
30.00	34.00	45.00	61.00
30.00	34.00	45.50	62.00
30.00	34.00	45.50	37.00
30.00	34.00	46.00	39.00
30.00	34.00	46.00	39.00
30.00	34.00	47.00	40.00
30.00	34.00	47.00	40.50
30.00	34.00	47.00	41.50
30.00	34.00	47.00	49.00
30.00	34.00	47.50	49.00
30.00	34.00	47.50	50.50
30.00	34.00	41.00	52.00
30.00	34.00	41.00	53.50
30.00	34.00	41.00	54.00
30.00	34.00	45.50	56.50
30.00	34.00	45.50	57.00
30.00	34.00	45.50	58.50
30.00	34.00	45.50	58.00
30.00	34.00	45.50	48.50
30.00	34.00	45.50	49.00
30.00	34.00	45.50	51.50
30.00	34.00	45.50	52.50
30.00	34.00	45.50	53.50
30.00	34.00	45.50	53.50
30.00	34.00	46.00	53.50
30.00	34.00	45.50	53.50
30.00	34.00	51.00	54.50
30.00	34.00	51.00	54.50
30.00	34.00	47.00	55.00
30.00	34.00	54.00	55.50
30.00	34.00	53.00	55.50
30.00	34.00	53.00	55.50
30.00	34.00	51.00	55.50
30.00	34.00	51.00	56.00
