Date Time	Rain (mm) #2228701	Water Content (m^3/m^3) #2245617	Solar Radiation (W/m^2) #2246794	Temperature (*C) #2250766-1	Dew Point (*C) #2250766-1	RH (%) #2250766-2
05/21/13 15:56:19.0	0	0.12932	96.9	31.612	21.37	54.6
05/21/13 19:56:19.0	0	0.12592	0.6	26.744	21.95	74.9
05/21/13 23:56:19.0	0	0.12168	0.6	25.331	21.37	78.6
05/22/13 03:56:19.0	0	0.11914	0.6	24.291	20.75	80.5
05/22/13 07:56:19.0	0	0.11701	434.4	28.444	22.33	69.4
05/22/13 11:56:19.0	0	0.1255	930.6	35.904	22.7	46.6
05/22/13 15:56:19.0	0	0.13016	85.6	31.919	22.45	57.3
05/22/13 19:56:19.0	0	0.12592	0.6	27.677	21.85	70.5
05/22/13 23:56:19.0	0	0.1221	0.6	25.355	21.31	78.2
05/23/13 03:56:19.0	0	0.11871	0.6	24.267	20.9	81.4
05/23/13 07:56:19.0	0	0.11659	183.1	27.481	22.35	73.5
05/23/13 11:56:19.0	0	0.11998	384.4	31.893	23.02	59.4
05/23/13 15:56:19.0	0	0.1238	99.4	31.74	21.87	55.9
05/23/13 19:56:19.0	0	0.12168	0.6	27.136	21.88	72.9
05/23/13 23:56:19.0	0	0.11829	0.6	25.72	21.79	78.8
05/24/13 03:56:19.0	0	0.11574	0.6	25.113	21.89	82.2
05/24/13 07:56:19.0	0	0.11447	431.9	29.04	23.55	72.2
05/24/13 11:56:19.0	0	0.12083	349.4	33.626	22.81	53.2
05/24/13 15:56:19.0	0	0.12465	74.4	29.84	22.63	65.2
05/24/13 19:56:19.0	0	0.12126	0.6	26.231	22.12	78
05/24/13 23:56:19.0	0	0.11786	0.6	25.671	22.01	80.1
05/25/13 03:56:19.0	0	0.11532	0.6	25.38	21.91	81
05/25/13 07:56:19.0	0	0.1132	306.9	28.941	23.89	74.1
05/25/13 11:56:19.0	0	0.11871	205.6	34.704	22.87	50.3
05/25/13 15:56:19.0	0	0.12338	69.4	30.369	21.34	58.5
05/25/13 19:56:19.0	0	0.11998	0.6	26.867	22.09	75
05/25/13 23:56:19.0	0	0.11617	0.6	24.581	21.37	82.2
05/26/13 03:56:19.0	0	0.11277	0.6	22.25	19.97	86.8
05/26/13 07:56:19.0	0	0.11065	209.4	28.742	23.56	73.5
05/26/13 11:56:19.0	0	0.11701	188.1	33.809	20.7	46.3
05/26/13 15:56:19.0	0	0.12168	124.4	32.768	20.27	47.8
05/26/13 19:56:19.0	0	0.11829	0.6	26.818	20.34	67.6
05/26/13 23:56:19.0	0	0.11447	0.6	25.38	21.04	76.8
05/27/13 03:56:19.0	0	0.11108	0.6	24.484	21.06	81.1
05/27/13 07:56:19.0	0	0.10895	213.1	28.543	22.44	69.5
05/27/13 11:56:19.0	0	0.11405	839.4	35.208	21.17	44.1
05/27/13 15:56:19.0	0	0.11956	83.1	32.82	19.16	44.5
05/27/13 19:56:19.0	0	0.11574	0.6	27.21	20.67	67.4
05/27/13 23:56:19.0	0	0.11192	0.6	25.283	21.09	77.5
05/28/13 03:56:19.0	0	0.10895	0.6	24.436	20.64	79.3
05/28/13 07:56:19.0	0	0.10726	189.4	27.161	21.95	73.1
05/28/13 11:56:19.0	0	0.11065	978.1	34.572	23.2	51.7
