bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;lat;long;alt;estacao;tempAR;tempSOL;peso
1.0;2;49;37.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;50;41;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;51;41.67;Insecta;Dermaptera;NA;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;53;45;Arachnida;Araneae;Theridiidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;2
1.0;2;54;46;Arachnida;Araneae;Scytodidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;55;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;56;34;Arachnida;Araneae;Scytodidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;57;37;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;58;38.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;59;38.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;60;40;Arachnida;Araneae;Corinnidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;76
1.0;2;61;40;Arachnida;Araneae;Corinnidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;12
1.0;2;62;40;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;63;42;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;64;42;Arachnida;Araneae;Miturgidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;15
1.0;2;65;33.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;66;35;Arachnida;Araneae;Miturgidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;67;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;68;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;69;37;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;70;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;71;38;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;72;37.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;73;37.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;74;39;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;75;40;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;76;37;Arachnida;Opiliones;Gonyleptidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;77;37;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;78;37;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;79;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;80;39;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;81;39;Arachnida;Acari;NA;NA;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;2;82;41;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.747;-45.975;314;Boraceia;20.1;16;1
1.0;3;83;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;65
